Row Labels,Count of state
(blank),
 Khon Kaen,1
 Republika Srpska,1
 Nicosia,1
 Jalisco,1
 WY,2
 ND,2
 DE,4
 AK,5
 MT,6
 HI,6
 RI,8
 SD,9
 DC,9
 UT,9
 VT,10
 ID,11
 NH,13
 IA,15
 MS,16
 NM,16
 SC,16
 NE,16
 LA,17
 WV,18
 ME,18
 KS,19
 AR,19
 OK,21
 AL,21
 KY,22
 NV,22
 CT,24
 IN,29
 OR,29
 MO,31
 TN,41
 MD,44
 VA,46
 WI,49
 GA,50
 MN,53
 CO,59
 OH,60
 AZ,62
 NC,62
 MI,69
 MA,73
 WA,74
 NJ,77
 PA,83
 IL,90
 TX,127
 NY,138
 FL,189
 CA,196
Grand Total,2109
